CA,GEOG,Crime_Rate,unemployment_rate,rent_to_income,economic_vitality_index,vacancy_rate,disability_rate,gentrification_risk,vacant_land_pct,income_diversity,low_income_pct
1,Rogers Park,703.0991586970591,0.057745301421184454,0.2519357882650911,0.5771912948629198,0.10522631007806174,0.10506004200247687,0.29676423927162693,0.0024787135084895,0.8212931074373098,0.21939673721685296
2,West Ridge,453.58004201135867,0.06348096348096331,0.23740965036415673,0.5799711652599978,0.0761941260495416,0.0883996719863747,0.28840454743969735,0.0037977043428206,0.8308218218649669,0.16714436566601235
3,Uptown,648.1934874610891,0.04451254349971421,0.22261145473602933,0.6563651229373308,0.08785515003131558,0.13156062926353868,0.3015262276269598,0.0068367670118524,0.8269061262373355,0.23167915106117282
4,Lincoln Square,478.9845409196424,0.05951454249522306,0.1996929347616187,0.8030019845580021,0.05581826159021082,0.06285633176409343,0.3030788787003475,0.0026333296635893,0.8196428719191057,0.10465716646013991
5,North Center,378.3391239961269,0.03626169914545356,0.140267889579035,0.9642520277849695,0.08978640287316432,0.05799408052716798,0.28216409644350454,0.0077107839333294,0.695283800159282,0.08320642392357688
6,Lake View,560.5240174672489,0.03650924351891198,0.20811728261323878,0.9061911812574477,0.07189019921380493,0.06810564287048225,0.345677801994603,0.0067605931897968,0.7980271937061997,0.10375089734386198
7,Lincoln Park,560.9714577540715,0.03608989744708698,0.17411257759507615,0.9234037095090414,0.10531072827367065,0.04652744612801915,0.33422953757832985,0.0198377926440685,0.7336612303485701,0.1140941651870443
8,Near North Side,1012.040083048132,0.027748381687992155,0.22436184899725725,0.9125099274618149,0.14587669706044268,0.07249426922772896,0.43303503966978396,0.0338126264360177,0.7551113354077089,0.12297968681214998
9,Edison Park,239.3058568329718,0.03229381035301516,0.1673616849003406,0.7896535484354497,0.07517410897173135,0.0725311348886154,0.2591654287822555,0.0002088029336405,0.7702810246146514,0.12336655592469273
10,Norwood Park,316.47651619977546,0.04272565471337265,0.15882709232877407,0.7056988169346763,0.041725129508062966,0.10549443958778679,0.20111145628635604,0.0028848800339948,0.7972189642921921,0.11600688088128054
11,Jefferson Park,400.7476350320415,0.0586883739250308,0.17716194015781886,0.6657349388124861,0.07532713498622524,0.10520864160994339,0.2197743913029964,0.0026921915290132,0.8236022786729174,0.12345219253328253
12,Forest Glen,268.47315778730353,0.04821824038655075,0.1679580622374247,0.8068376617102992,0.03973238667394812,0.08652732309241962,0.25635860979641767,0.0022006416955656,0.7216914010364455,0.07791838475757035
13,North Park,515.5760578620651,0.03718265558301463,0.18922816140333718,0.601433988406088,0.09390795424314853,0.11083616867718266,0.256619561636139,0.0036044743782044,0.8255710622924124,0.17748091603053173
14,Albany Park,481.23811885279775,0.06458259325044383,0.19853442452183193,0.6598747571003999,0.08286343375758508,0.07664225919476307,0.2604185519059531,0.0117119659169317,0.8274549386397279,0.12548307764375147
